text,exp_and_td,labels
Sunday bloody Sunday.  Thoughts today with the brave people of Peshawar   K P   R I P,donation needs or offers or volunteering services,8
Sunday bloody Sunday.  Thoughts today with the brave people of Peshawar   K P   R I P,caution and advice,8
Sunday bloody Sunday.  Thoughts today with the brave people of Peshawar   K P   R I P,sympathy and emotional support,8
Sunday bloody Sunday.  Thoughts today with the brave people of Peshawar   K P   R I P,other useful information,8
Sunday bloody Sunday.  Thoughts today with the brave people of Peshawar   K P   R I P,not related or irrelevant,8
Sunday bloody Sunday.  Thoughts today with the brave people of Peshawar   K P   R I P,someone is confirm dead death die or killed injured or hurt,8
Napa earthquake hastens calls for warning system The earthquake that jolted Cali  http,injured or dead people,5
Napa earthquake hastens calls for warning system The earthquake that jolted Cali  http,missing trapped or found people,5
Napa earthquake hastens calls for warning system The earthquake that jolted Cali  http,displaced people and evacuations,5
Napa earthquake hastens calls for warning system The earthquake that jolted Cali  http,infrastructure and utilities damage,5
Napa earthquake hastens calls for warning system The earthquake that jolted Cali  http,donation needs or offers or volunteering services,5
Napa earthquake hastens calls for warning system The earthquake that jolted Cali  http,caution and advice,5
Napa earthquake hastens calls for warning system The earthquake that jolted Cali  http,sympathy and emotional support,5
Napa earthquake hastens calls for warning system The earthquake that jolted Cali  http,other useful information,5
Napa earthquake hastens calls for warning system The earthquake that jolted Cali  http,not related or irrelevant,5
Napa earthquake hastens calls for warning system The earthquake that jolted Cali  http,someone is confirm dead death die or killed injured or hurt,5
"California Quake to Cost Insurers Up to $1 Billion, Eqecat Says  http via",injured or dead people,3
"California Quake to Cost Insurers Up to $1 Billion, Eqecat Says  http via",missing trapped or found people,3
"California Quake to Cost Insurers Up to $1 Billion, Eqecat Says  http via",displaced people and evacuations,3
"California Quake to Cost Insurers Up to $1 Billion, Eqecat Says  http via",infrastructure and utilities damage,3
"California Quake to Cost Insurers Up to $1 Billion, Eqecat Says  http via",donation needs or offers or volunteering services,3
"California Quake to Cost Insurers Up to $1 Billion, Eqecat Says  http via",caution and advice,3
"California Quake to Cost Insurers Up to $1 Billion, Eqecat Says  http via",sympathy and emotional support,3
"California Quake to Cost Insurers Up to $1 Billion, Eqecat Says  http via",other useful information,3
"California Quake to Cost Insurers Up to $1 Billion, Eqecat Says  http via",not related or irrelevant,3
"California Quake to Cost Insurers Up to $1 Billion, Eqecat Says  http via",someone is confirm dead death die or killed injured or hurt,3
sounds alarm: Do a home &amp; business inventory of your stuff!  Help getting started: http,injured or dead people,8
sounds alarm: Do a home &amp; business inventory of your stuff!  Help getting started: http,missing trapped or found people,8
sounds alarm: Do a home &amp; business inventory of your stuff!  Help getting started: http,displaced people and evacuations,8
sounds alarm: Do a home &amp; business inventory of your stuff!  Help getting started: http,infrastructure and utilities damage,8
sounds alarm: Do a home &amp; business inventory of your stuff!  Help getting started: http,donation needs or offers or volunteering services,8
sounds alarm: Do a home &amp; business inventory of your stuff!  Help getting started: http,caution and advice,8
sounds alarm: Do a home &amp; business inventory of your stuff!  Help getting started: http,sympathy and emotional support,8
sounds alarm: Do a home &amp; business inventory of your stuff!  Help getting started: http,other useful information,8
sounds alarm: Do a home &amp; business inventory of your stuff!  Help getting started: http,not related or irrelevant,8
sounds alarm: Do a home &amp; business inventory of your stuff!  Help getting started: http,someone is confirm dead death die or killed injured or hurt,8
News Larger earthquake expected to shake Chile http,injured or dead people,5
News Larger earthquake expected to shake Chile http,missing trapped or found people,5
News Larger earthquake expected to shake Chile http,displaced people and evacuations,5
News Larger earthquake expected to shake Chile http,infrastructure and utilities damage,5
News Larger earthquake expected to shake Chile http,donation needs or offers or volunteering services,5
News Larger earthquake expected to shake Chile http,caution and advice,5
News Larger earthquake expected to shake Chile http,sympathy and emotional support,5
News Larger earthquake expected to shake Chile http,other useful information,5
News Larger earthquake expected to shake Chile http,not related or irrelevant,5
News Larger earthquake expected to shake Chile http,someone is confirm dead death die or killed injured or hurt,5
""" Pakistan is at war with  &amp; U S A  . """,injured or dead people,8
""" Pakistan is at war with  &amp; U S A  . """,missing trapped or found people,8
""" Pakistan is at war with  &amp; U S A  . """,displaced people and evacuations,8
""" Pakistan is at war with  &amp; U S A  . """,infrastructure and utilities damage,8
""" Pakistan is at war with  &amp; U S A  . """,donation needs or offers or volunteering services,8
""" Pakistan is at war with  &amp; U S A  . """,caution and advice,8
""" Pakistan is at war with  &amp; U S A  . """,sympathy and emotional support,8
""" Pakistan is at war with  &amp; U S A  . """,other useful information,8
""" Pakistan is at war with  &amp; U S A  . """,not related or irrelevant,8
""" Pakistan is at war with  &amp; U S A  . """,someone is confirm dead death die or killed injured or hurt,8
"Second  in Pakistan: M S F waiting for safe passage to Arawan area,  concerned about potential new casualties",injured or dead people,7
"Second  in Pakistan: M S F waiting for safe passage to Arawan area,  concerned about potential new casualties",missing trapped or found people,7
"Second  in Pakistan: M S F waiting for safe passage to Arawan area,  concerned about potential new casualties",displaced people and evacuations,7
"Second  in Pakistan: M S F waiting for safe passage to Arawan area,  concerned about potential new casualties",infrastructure and utilities damage,7
"Second  in Pakistan: M S F waiting for safe passage to Arawan area,  concerned about potential new casualties",donation needs or offers or volunteering services,7
"Second  in Pakistan: M S F waiting for safe passage to Arawan area,  concerned about potential new casualties",caution and advice,7
"Second  in Pakistan: M S F waiting for safe passage to Arawan area,  concerned about potential new casualties",sympathy and emotional support,7
"Second  in Pakistan: M S F waiting for safe passage to Arawan area,  concerned about potential new casualties",other useful information,7
"Second  in Pakistan: M S F waiting for safe passage to Arawan area,  concerned about potential new casualties",not related or irrelevant,7
"Second  in Pakistan: M S F waiting for safe passage to Arawan area,  concerned about potential new casualties",someone is confirm dead death die or killed injured or hurt,7
¤ USA http 85 earthquake Northern California rocked by magnitude 6.0 earthquake janinebucks Massachusett…,injured or dead people,7
¤ USA http 85 earthquake Northern California rocked by magnitude 6.0 earthquake janinebucks Massachusett…,missing trapped or found people,7
¤ USA http 85 earthquake Northern California rocked by magnitude 6.0 earthquake janinebucks Massachusett…,displaced people and evacuations,7
¤ USA http 85 earthquake Northern California rocked by magnitude 6.0 earthquake janinebucks Massachusett…,infrastructure and utilities damage,7
¤ USA http 85 earthquake Northern California rocked by magnitude 6.0 earthquake janinebucks Massachusett…,donation needs or offers or volunteering services,7
¤ USA http 85 earthquake Northern California rocked by magnitude 6.0 earthquake janinebucks Massachusett…,caution and advice,7
¤ USA http 85 earthquake Northern California rocked by magnitude 6.0 earthquake janinebucks Massachusett…,sympathy and emotional support,7
¤ USA http 85 earthquake Northern California rocked by magnitude 6.0 earthquake janinebucks Massachusett…,other useful information,7
¤ USA http 85 earthquake Northern California rocked by magnitude 6.0 earthquake janinebucks Massachusett…,not related or irrelevant,7
¤ USA http 85 earthquake Northern California rocked by magnitude 6.0 earthquake janinebucks Massachusett…,someone is confirm dead death die or killed injured or hurt,7
Joswa Beat Earthquake rocks northern California,injured or dead people,7
Joswa Beat Earthquake rocks northern California,missing trapped or found people,7
Joswa Beat Earthquake rocks northern California,displaced people and evacuations,7
Joswa Beat Earthquake rocks northern California,infrastructure and utilities damage,7
Joswa Beat Earthquake rocks northern California,donation needs or offers or volunteering services,7
Joswa Beat Earthquake rocks northern California,caution and advice,7
Joswa Beat Earthquake rocks northern California,sympathy and emotional support,7
Joswa Beat Earthquake rocks northern California,other useful information,7
Joswa Beat Earthquake rocks northern California,not related or irrelevant,7
Joswa Beat Earthquake rocks northern California,someone is confirm dead death die or killed injured or hurt,7
Invierno te espero.   rider  Chile http,injured or dead people,8
Invierno te espero.   rider  Chile http,missing trapped or found people,8
Invierno te espero.   rider  Chile http,displaced people and evacuations,8
Invierno te espero.   rider  Chile http,infrastructure and utilities damage,8
Invierno te espero.   rider  Chile http,donation needs or offers or volunteering services,8
Invierno te espero.   rider  Chile http,caution and advice,8
Invierno te espero.   rider  Chile http,sympathy and emotional support,8
Invierno te espero.   rider  Chile http,other useful information,8
Invierno te espero.   rider  Chile http,not related or irrelevant,8
Invierno te espero.   rider  Chile http,someone is confirm dead death die or killed injured or hurt,8
→ USA  → California Hit With Earthquake Of 6.0 Magnitude → (AP) — An earthquake with a preliminary magnitude of ... http,injured or dead people,7
→ USA  → California Hit With Earthquake Of 6.0 Magnitude → (AP) — An earthquake with a preliminary magnitude of ... http,missing trapped or found people,7
→ USA  → California Hit With Earthquake Of 6.0 Magnitude → (AP) — An earthquake with a preliminary magnitude of ... http,displaced people and evacuations,7
→ USA  → California Hit With Earthquake Of 6.0 Magnitude → (AP) — An earthquake with a preliminary magnitude of ... http,infrastructure and utilities damage,7
→ USA  → California Hit With Earthquake Of 6.0 Magnitude → (AP) — An earthquake with a preliminary magnitude of ... http,donation needs or offers or volunteering services,7
→ USA  → California Hit With Earthquake Of 6.0 Magnitude → (AP) — An earthquake with a preliminary magnitude of ... http,caution and advice,7
→ USA  → California Hit With Earthquake Of 6.0 Magnitude → (AP) — An earthquake with a preliminary magnitude of ... http,sympathy and emotional support,7
→ USA  → California Hit With Earthquake Of 6.0 Magnitude → (AP) — An earthquake with a preliminary magnitude of ... http,other useful information,7
→ USA  → California Hit With Earthquake Of 6.0 Magnitude → (AP) — An earthquake with a preliminary magnitude of ... http,not related or irrelevant,7
→ USA  → California Hit With Earthquake Of 6.0 Magnitude → (AP) — An earthquake with a preliminary magnitude of ... http,someone is confirm dead death die or killed injured or hurt,7
What was the Napa earthquake like? http,injured or dead people,8
What was the Napa earthquake like? http,missing trapped or found people,8
What was the Napa earthquake like? http,displaced people and evacuations,8
What was the Napa earthquake like? http,infrastructure and utilities damage,8
What was the Napa earthquake like? http,donation needs or offers or volunteering services,8
What was the Napa earthquake like? http,caution and advice,8
What was the Napa earthquake like? http,sympathy and emotional support,8
What was the Napa earthquake like? http,other useful information,8
What was the Napa earthquake like? http,not related or irrelevant,8
What was the Napa earthquake like? http,someone is confirm dead death die or killed injured or hurt,8
Massive Earthquake Chile reads 8.2 causing widespread  warnings. Prayers to the continent and country!,injured or dead people,6
Massive Earthquake Chile reads 8.2 causing widespread  warnings. Prayers to the continent and country!,missing trapped or found people,6
Massive Earthquake Chile reads 8.2 causing widespread  warnings. Prayers to the continent and country!,displaced people and evacuations,6
Massive Earthquake Chile reads 8.2 causing widespread  warnings. Prayers to the continent and country!,infrastructure and utilities damage,6
Massive Earthquake Chile reads 8.2 causing widespread  warnings. Prayers to the continent and country!,donation needs or offers or volunteering services,6
Massive Earthquake Chile reads 8.2 causing widespread  warnings. Prayers to the continent and country!,caution and advice,6
Massive Earthquake Chile reads 8.2 causing widespread  warnings. Prayers to the continent and country!,sympathy and emotional support,6
Massive Earthquake Chile reads 8.2 causing widespread  warnings. Prayers to the continent and country!,other useful information,6
Massive Earthquake Chile reads 8.2 causing widespread  warnings. Prayers to the continent and country!,not related or irrelevant,6
Massive Earthquake Chile reads 8.2 causing widespread  warnings. Prayers to the continent and country!,someone is confirm dead death die or killed injured or hurt,6
Bad: Yesterday's California  messed up my shelves. Good: Had reason to redo my action figure display.,injured or dead people,8
Bad: Yesterday's California  messed up my shelves. Good: Had reason to redo my action figure display.,missing trapped or found people,8
Bad: Yesterday's California  messed up my shelves. Good: Had reason to redo my action figure display.,displaced people and evacuations,8
Bad: Yesterday's California  messed up my shelves. Good: Had reason to redo my action figure display.,infrastructure and utilities damage,8
Bad: Yesterday's California  messed up my shelves. Good: Had reason to redo my action figure display.,donation needs or offers or volunteering services,8
Bad: Yesterday's California  messed up my shelves. Good: Had reason to redo my action figure display.,caution and advice,8
Bad: Yesterday's California  messed up my shelves. Good: Had reason to redo my action figure display.,sympathy and emotional support,8
Bad: Yesterday's California  messed up my shelves. Good: Had reason to redo my action figure display.,other useful information,8
Bad: Yesterday's California  messed up my shelves. Good: Had reason to redo my action figure display.,not related or irrelevant,8
Bad: Yesterday's California  messed up my shelves. Good: Had reason to redo my action figure display.,someone is confirm dead death die or killed injured or hurt,8
God is on your sides ;) Pray For Chile,injured or dead people,6
God is on your sides ;) Pray For Chile,missing trapped or found people,6
God is on your sides ;) Pray For Chile,displaced people and evacuations,6
God is on your sides ;) Pray For Chile,infrastructure and utilities damage,6
God is on your sides ;) Pray For Chile,donation needs or offers or volunteering services,6
God is on your sides ;) Pray For Chile,caution and advice,6
God is on your sides ;) Pray For Chile,sympathy and emotional support,6
God is on your sides ;) Pray For Chile,other useful information,6
God is on your sides ;) Pray For Chile,not related or irrelevant,6
God is on your sides ;) Pray For Chile,someone is confirm dead death die or killed injured or hurt,6
Breaking News: Powerful 6.8  rocks Pakistan again; Tremors in UAE? http,injured or dead people,7
Breaking News: Powerful 6.8  rocks Pakistan again; Tremors in UAE? http,missing trapped or found people,7
Breaking News: Powerful 6.8  rocks Pakistan again; Tremors in UAE? http,displaced people and evacuations,7
Breaking News: Powerful 6.8  rocks Pakistan again; Tremors in UAE? http,infrastructure and utilities damage,7
Breaking News: Powerful 6.8  rocks Pakistan again; Tremors in UAE? http,donation needs or offers or volunteering services,7
Breaking News: Powerful 6.8  rocks Pakistan again; Tremors in UAE? http,caution and advice,7
Breaking News: Powerful 6.8  rocks Pakistan again; Tremors in UAE? http,sympathy and emotional support,7
Breaking News: Powerful 6.8  rocks Pakistan again; Tremors in UAE? http,other useful information,7
Breaking News: Powerful 6.8  rocks Pakistan again; Tremors in UAE? http,not related or irrelevant,7
Breaking News: Powerful 6.8  rocks Pakistan again; Tremors in UAE? http,someone is confirm dead death die or killed injured or hurt,7
Interest in earthquake insurance is likely to spike after the California earthquake http http,injured or dead people,7
Interest in earthquake insurance is likely to spike after the California earthquake http http,missing trapped or found people,7
Interest in earthquake insurance is likely to spike after the California earthquake http http,displaced people and evacuations,7
Interest in earthquake insurance is likely to spike after the California earthquake http http,infrastructure and utilities damage,7
Interest in earthquake insurance is likely to spike after the California earthquake http http,donation needs or offers or volunteering services,7
Interest in earthquake insurance is likely to spike after the California earthquake http http,caution and advice,7
Interest in earthquake insurance is likely to spike after the California earthquake http http,sympathy and emotional support,7
Interest in earthquake insurance is likely to spike after the California earthquake http http,other useful information,7
Interest in earthquake insurance is likely to spike after the California earthquake http http,not related or irrelevant,7
Interest in earthquake insurance is likely to spike after the California earthquake http http,someone is confirm dead death die or killed injured or hurt,7
"New Earthquake Pastday M 2.7, Puerto Rico region http",injured or dead people,7
"New Earthquake Pastday M 2.7, Puerto Rico region http",missing trapped or found people,7
"New Earthquake Pastday M 2.7, Puerto Rico region http",displaced people and evacuations,7
"New Earthquake Pastday M 2.7, Puerto Rico region http",infrastructure and utilities damage,7
"New Earthquake Pastday M 2.7, Puerto Rico region http",donation needs or offers or volunteering services,7
"New Earthquake Pastday M 2.7, Puerto Rico region http",caution and advice,7
"New Earthquake Pastday M 2.7, Puerto Rico region http",sympathy and emotional support,7
"New Earthquake Pastday M 2.7, Puerto Rico region http",other useful information,7
"New Earthquake Pastday M 2.7, Puerto Rico region http",not related or irrelevant,7
"New Earthquake Pastday M 2.7, Puerto Rico region http",someone is confirm dead death die or killed injured or hurt,7
"Start of Chile  rescue could slip to Thursday, official says. http",injured or dead people,7
"Start of Chile  rescue could slip to Thursday, official says. http",missing trapped or found people,7
"Start of Chile  rescue could slip to Thursday, official says. http",displaced people and evacuations,7
"Start of Chile  rescue could slip to Thursday, official says. http",infrastructure and utilities damage,7
"Start of Chile  rescue could slip to Thursday, official says. http",donation needs or offers or volunteering services,7
"Start of Chile  rescue could slip to Thursday, official says. http",caution and advice,7
"Start of Chile  rescue could slip to Thursday, official says. http",sympathy and emotional support,7
"Start of Chile  rescue could slip to Thursday, official says. http",other useful information,7
"Start of Chile  rescue could slip to Thursday, official says. http",not related or irrelevant,7
"Start of Chile  rescue could slip to Thursday, official says. http",someone is confirm dead death die or killed injured or hurt,7
Rafi Swagger Renewed Calls for Early-Warning System After Quake: California quake leads to renewe... http Rafi Swagger,injured or dead people,5
Rafi Swagger Renewed Calls for Early-Warning System After Quake: California quake leads to renewe... http Rafi Swagger,missing trapped or found people,5
Rafi Swagger Renewed Calls for Early-Warning System After Quake: California quake leads to renewe... http Rafi Swagger,displaced people and evacuations,5
Rafi Swagger Renewed Calls for Early-Warning System After Quake: California quake leads to renewe... http Rafi Swagger,infrastructure and utilities damage,5
Rafi Swagger Renewed Calls for Early-Warning System After Quake: California quake leads to renewe... http Rafi Swagger,donation needs or offers or volunteering services,5
Rafi Swagger Renewed Calls for Early-Warning System After Quake: California quake leads to renewe... http Rafi Swagger,caution and advice,5
Rafi Swagger Renewed Calls for Early-Warning System After Quake: California quake leads to renewe... http Rafi Swagger,sympathy and emotional support,5
Rafi Swagger Renewed Calls for Early-Warning System After Quake: California quake leads to renewe... http Rafi Swagger,other useful information,5
Rafi Swagger Renewed Calls for Early-Warning System After Quake: California quake leads to renewe... http Rafi Swagger,not related or irrelevant,5
Rafi Swagger Renewed Calls for Early-Warning System After Quake: California quake leads to renewe... http Rafi Swagger,someone is confirm dead death die or killed injured or hurt,5
"We are grateful to report we suffered no damage to our winery or offices, and aside from ""reorganized"" homes, everyone is safe.",injured or dead people,6
"We are grateful to report we suffered no damage to our winery or offices, and aside from ""reorganized"" homes, everyone is safe.",missing trapped or found people,6
"We are grateful to report we suffered no damage to our winery or offices, and aside from ""reorganized"" homes, everyone is safe.",displaced people and evacuations,6
"We are grateful to report we suffered no damage to our winery or offices, and aside from ""reorganized"" homes, everyone is safe.",infrastructure and utilities damage,6
"We are grateful to report we suffered no damage to our winery or offices, and aside from ""reorganized"" homes, everyone is safe.",donation needs or offers or volunteering services,6
"We are grateful to report we suffered no damage to our winery or offices, and aside from ""reorganized"" homes, everyone is safe.",caution and advice,6
"We are grateful to report we suffered no damage to our winery or offices, and aside from ""reorganized"" homes, everyone is safe.",sympathy and emotional support,6
"We are grateful to report we suffered no damage to our winery or offices, and aside from ""reorganized"" homes, everyone is safe.",other useful information,6
"We are grateful to report we suffered no damage to our winery or offices, and aside from ""reorganized"" homes, everyone is safe.",not related or irrelevant,6
"We are grateful to report we suffered no damage to our winery or offices, and aside from ""reorganized"" homes, everyone is safe.",someone is confirm dead death die or killed injured or hurt,6
Outside my windscreen going to Yin Yoga tonight. Such beauty. My prayers and class dedicated to Chile  folded hands ht…,injured or dead people,6
Outside my windscreen going to Yin Yoga tonight. Such beauty. My prayers and class dedicated to Chile  folded hands ht…,missing trapped or found people,6
Outside my windscreen going to Yin Yoga tonight. Such beauty. My prayers and class dedicated to Chile  folded hands ht…,displaced people and evacuations,6
Outside my windscreen going to Yin Yoga tonight. Such beauty. My prayers and class dedicated to Chile  folded hands ht…,infrastructure and utilities damage,6
Outside my windscreen going to Yin Yoga tonight. Such beauty. My prayers and class dedicated to Chile  folded hands ht…,donation needs or offers or volunteering services,6
Outside my windscreen going to Yin Yoga tonight. Such beauty. My prayers and class dedicated to Chile  folded hands ht…,caution and advice,6
Outside my windscreen going to Yin Yoga tonight. Such beauty. My prayers and class dedicated to Chile  folded hands ht…,sympathy and emotional support,6
Outside my windscreen going to Yin Yoga tonight. Such beauty. My prayers and class dedicated to Chile  folded hands ht…,other useful information,6
Outside my windscreen going to Yin Yoga tonight. Such beauty. My prayers and class dedicated to Chile  folded hands ht…,not related or irrelevant,6
Outside my windscreen going to Yin Yoga tonight. Such beauty. My prayers and class dedicated to Chile  folded hands ht…,someone is confirm dead death die or killed injured or hurt,6
Families in tear.Poor still in pain.Death tol crosses 600 n Media excited abt the other 2 islands found. Balochi…,injured or dead people,0
Families in tear.Poor still in pain.Death tol crosses 600 n Media excited abt the other 2 islands found. Balochi…,missing trapped or found people,0
Families in tear.Poor still in pain.Death tol crosses 600 n Media excited abt the other 2 islands found. Balochi…,displaced people and evacuations,0
Families in tear.Poor still in pain.Death tol crosses 600 n Media excited abt the other 2 islands found. Balochi…,infrastructure and utilities damage,0
Families in tear.Poor still in pain.Death tol crosses 600 n Media excited abt the other 2 islands found. Balochi…,donation needs or offers or volunteering services,0
Families in tear.Poor still in pain.Death tol crosses 600 n Media excited abt the other 2 islands found. Balochi…,caution and advice,0
Families in tear.Poor still in pain.Death tol crosses 600 n Media excited abt the other 2 islands found. Balochi…,sympathy and emotional support,0
Families in tear.Poor still in pain.Death tol crosses 600 n Media excited abt the other 2 islands found. Balochi…,other useful information,0
Families in tear.Poor still in pain.Death tol crosses 600 n Media excited abt the other 2 islands found. Balochi…,not related or irrelevant,0
Families in tear.Poor still in pain.Death tol crosses 600 n Media excited abt the other 2 islands found. Balochi…,someone is confirm dead death die or killed injured or hurt,0
It's a bad day when a 7.8 magnitude earthquake is an 'aftershock'... http,injured or dead people,7
It's a bad day when a 7.8 magnitude earthquake is an 'aftershock'... http,missing trapped or found people,7
It's a bad day when a 7.8 magnitude earthquake is an 'aftershock'... http,displaced people and evacuations,7
It's a bad day when a 7.8 magnitude earthquake is an 'aftershock'... http,infrastructure and utilities damage,7
It's a bad day when a 7.8 magnitude earthquake is an 'aftershock'... http,donation needs or offers or volunteering services,7
It's a bad day when a 7.8 magnitude earthquake is an 'aftershock'... http,caution and advice,7
It's a bad day when a 7.8 magnitude earthquake is an 'aftershock'... http,sympathy and emotional support,7
It's a bad day when a 7.8 magnitude earthquake is an 'aftershock'... http,other useful information,7
It's a bad day when a 7.8 magnitude earthquake is an 'aftershock'... http,not related or irrelevant,7
It's a bad day when a 7.8 magnitude earthquake is an 'aftershock'... http,someone is confirm dead death die or killed injured or hurt,7
"Willie Brown will present $50,000 check Weds from Raiders to Napa Valley Schools to assist in efforts to recover from Sunday's earthquake",injured or dead people,4
"Willie Brown will present $50,000 check Weds from Raiders to Napa Valley Schools to assist in efforts to recover from Sunday's earthquake",missing trapped or found people,4
"Willie Brown will present $50,000 check Weds from Raiders to Napa Valley Schools to assist in efforts to recover from Sunday's earthquake",displaced people and evacuations,4
"Willie Brown will present $50,000 check Weds from Raiders to Napa Valley Schools to assist in efforts to recover from Sunday's earthquake",infrastructure and utilities damage,4
"Willie Brown will present $50,000 check Weds from Raiders to Napa Valley Schools to assist in efforts to recover from Sunday's earthquake",donation needs or offers or volunteering services,4
"Willie Brown will present $50,000 check Weds from Raiders to Napa Valley Schools to assist in efforts to recover from Sunday's earthquake",caution and advice,4
"Willie Brown will present $50,000 check Weds from Raiders to Napa Valley Schools to assist in efforts to recover from Sunday's earthquake",sympathy and emotional support,4
"Willie Brown will present $50,000 check Weds from Raiders to Napa Valley Schools to assist in efforts to recover from Sunday's earthquake",other useful information,4
"Willie Brown will present $50,000 check Weds from Raiders to Napa Valley Schools to assist in efforts to recover from Sunday's earthquake",not related or irrelevant,4
"Willie Brown will present $50,000 check Weds from Raiders to Napa Valley Schools to assist in efforts to recover from Sunday's earthquake",someone is confirm dead death die or killed injured or hurt,4
http lets be naughty,injured or dead people,8
http lets be naughty,missing trapped or found people,8
http lets be naughty,displaced people and evacuations,8
http lets be naughty,infrastructure and utilities damage,8
http lets be naughty,donation needs or offers or volunteering services,8
http lets be naughty,caution and advice,8
http lets be naughty,sympathy and emotional support,8
http lets be naughty,other useful information,8
http lets be naughty,not related or irrelevant,8
http lets be naughty,someone is confirm dead death die or killed injured or hurt,8
"Israeli start-up warned Chile's citizens of tsunami http via    Iquique, April 3, 2014: http",injured or dead people,5
"Israeli start-up warned Chile's citizens of tsunami http via    Iquique, April 3, 2014: http",missing trapped or found people,5
"Israeli start-up warned Chile's citizens of tsunami http via    Iquique, April 3, 2014: http",displaced people and evacuations,5
"Israeli start-up warned Chile's citizens of tsunami http via    Iquique, April 3, 2014: http",infrastructure and utilities damage,5
"Israeli start-up warned Chile's citizens of tsunami http via    Iquique, April 3, 2014: http",donation needs or offers or volunteering services,5
"Israeli start-up warned Chile's citizens of tsunami http via    Iquique, April 3, 2014: http",caution and advice,5
"Israeli start-up warned Chile's citizens of tsunami http via    Iquique, April 3, 2014: http",sympathy and emotional support,5
"Israeli start-up warned Chile's citizens of tsunami http via    Iquique, April 3, 2014: http",other useful information,5
"Israeli start-up warned Chile's citizens of tsunami http via    Iquique, April 3, 2014: http",not related or irrelevant,5
"Israeli start-up warned Chile's citizens of tsunami http via    Iquique, April 3, 2014: http",someone is confirm dead death die or killed injured or hurt,5
"A tsunami warning is posted for Chile, Peru AGAIN after this M-7.8 quake. Here are tsunami arrival times: http",injured or dead people,7
"A tsunami warning is posted for Chile, Peru AGAIN after this M-7.8 quake. Here are tsunami arrival times: http",missing trapped or found people,7
"A tsunami warning is posted for Chile, Peru AGAIN after this M-7.8 quake. Here are tsunami arrival times: http",displaced people and evacuations,7
"A tsunami warning is posted for Chile, Peru AGAIN after this M-7.8 quake. Here are tsunami arrival times: http",infrastructure and utilities damage,7
"A tsunami warning is posted for Chile, Peru AGAIN after this M-7.8 quake. Here are tsunami arrival times: http",donation needs or offers or volunteering services,7
"A tsunami warning is posted for Chile, Peru AGAIN after this M-7.8 quake. Here are tsunami arrival times: http",caution and advice,7
"A tsunami warning is posted for Chile, Peru AGAIN after this M-7.8 quake. Here are tsunami arrival times: http",sympathy and emotional support,7
"A tsunami warning is posted for Chile, Peru AGAIN after this M-7.8 quake. Here are tsunami arrival times: http",other useful information,7
"A tsunami warning is posted for Chile, Peru AGAIN after this M-7.8 quake. Here are tsunami arrival times: http",not related or irrelevant,7
"A tsunami warning is posted for Chile, Peru AGAIN after this M-7.8 quake. Here are tsunami arrival times: http",someone is confirm dead death die or killed injured or hurt,7
"How the Napa earthquake affected Bay Area sleepers, using data from their Jawbone UPs. I find this oddly eerie! http",injured or dead people,7
"How the Napa earthquake affected Bay Area sleepers, using data from their Jawbone UPs. I find this oddly eerie! http",missing trapped or found people,7
"How the Napa earthquake affected Bay Area sleepers, using data from their Jawbone UPs. I find this oddly eerie! http",displaced people and evacuations,7
"How the Napa earthquake affected Bay Area sleepers, using data from their Jawbone UPs. I find this oddly eerie! http",infrastructure and utilities damage,7
"How the Napa earthquake affected Bay Area sleepers, using data from their Jawbone UPs. I find this oddly eerie! http",donation needs or offers or volunteering services,7
"How the Napa earthquake affected Bay Area sleepers, using data from their Jawbone UPs. I find this oddly eerie! http",caution and advice,7
"How the Napa earthquake affected Bay Area sleepers, using data from their Jawbone UPs. I find this oddly eerie! http",sympathy and emotional support,7
"How the Napa earthquake affected Bay Area sleepers, using data from their Jawbone UPs. I find this oddly eerie! http",other useful information,7
"How the Napa earthquake affected Bay Area sleepers, using data from their Jawbone UPs. I find this oddly eerie! http",not related or irrelevant,7
"How the Napa earthquake affected Bay Area sleepers, using data from their Jawbone UPs. I find this oddly eerie! http",someone is confirm dead death die or killed injured or hurt,7
"Temblorhot springs M 4.5, 270km SE of Lambasa, Fiji http Earthquake Sismo",injured or dead people,7
"Temblorhot springs M 4.5, 270km SE of Lambasa, Fiji http Earthquake Sismo",missing trapped or found people,7
"Temblorhot springs M 4.5, 270km SE of Lambasa, Fiji http Earthquake Sismo",displaced people and evacuations,7
"Temblorhot springs M 4.5, 270km SE of Lambasa, Fiji http Earthquake Sismo",infrastructure and utilities damage,7
"Temblorhot springs M 4.5, 270km SE of Lambasa, Fiji http Earthquake Sismo",donation needs or offers or volunteering services,7
"Temblorhot springs M 4.5, 270km SE of Lambasa, Fiji http Earthquake Sismo",caution and advice,7
"Temblorhot springs M 4.5, 270km SE of Lambasa, Fiji http Earthquake Sismo",sympathy and emotional support,7
"Temblorhot springs M 4.5, 270km SE of Lambasa, Fiji http Earthquake Sismo",other useful information,7
"Temblorhot springs M 4.5, 270km SE of Lambasa, Fiji http Earthquake Sismo",not related or irrelevant,7
"Temblorhot springs M 4.5, 270km SE of Lambasa, Fiji http Earthquake Sismo",someone is confirm dead death die or killed injured or hurt,7
"120 injured, 3 critical after Napa, California quake - USA TODAY: USA TODAY120 injured, 3 critical after Napa,... http",injured or dead people,0
